#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-14 00:10:19
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2018-02-14 02:10:43 GET /jakarta/isapi_redirect.dll 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 503 0 1932
2018-02-14 02:10:51 GET /jakarta/isapi_redirect.dll 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 503 0 1932
2018-02-14 02:10:51 GET /robots.txt 5.255.250.120 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - www.birdkernanddalmia.com 404 0 5469
2018-02-14 02:10:54 GET /favicon.ico 5.255.250.120 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - www.birdkernanddalmia.com 404 0 5471
2018-02-14 02:11:08 GET /jakarta/isapi_redirect.dll 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 503 0 1932
2018-02-14 02:11:24 GET /therapists.html 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 7299
2018-02-14 02:11:24 GET /Images/Vision-Button.jpg 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 304 0 238
2018-02-14 02:11:24 GET /Scripts/AC_RunActiveContent.js 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 304 0 240
2018-02-14 02:11:24 GET /Images/Home-button.jpg 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 304 0 240
2018-02-14 02:11:24 GET /Images/Adobe-ID-044ASP365792.jpg 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 304 0 240
